tile_id,row,column,part_filename,geometry_hash,palette_index,palette_id,palette_name,sku,piece_type
placement-000032,1,33,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000033,1,34,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000034,1,35,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000035,1,36,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000036,1,37,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000037,1,38,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000038,1,39,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000039,1,40,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000040,1,41,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000041,1,42,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000042,1,43,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000043,1,44,cut_83f0f2cd6cd54dc4.stl,83f0f2cd6cd54dc440d0c0ffd6235ef339d97d8609287c2057b95ff3ae4ea573,1,P02,White,,edge_cut
placement-000044,2,1,cut_49677025bd830ab6.stl,49677025bd830ab6f6e204ff344e3e36350c91d280e55fb4ddc3a423c60b97e6,1,P02,White,,edge_cut
placement-000045,2,2,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000046,2,3,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000047,2,4,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000048,2,5,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000049,2,6,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000050,2,7,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000051,2,8,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000052,2,9,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000053,2,10,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000054,2,11,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000055,2,12,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000056,2,13,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000057,2,14,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000058,2,15,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000059,2,16,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000060,2,17,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000061,2,18,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000062,2,19,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000063,2,20,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000064,2,21,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,0,P01,Black,,full
placement-000065,2,22,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000066,2,23,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000067,2,24,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000068,2,25,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000069,2,26,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000070,2,27,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000071,2,28,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000072,2,29,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000073,2,30,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000074,2,31,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000075,2,32,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000076,2,33,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000077,2,34,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000078,2,35,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000079,2,36,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000080,2,37,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000081,2,38,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000082,2,39,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000083,2,40,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000084,2,41,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
placement-000085,2,42,full_56743987d41a3d3c.stl,56743987d41a3d3c82f6cfd93ed235541ada6d6eb51f0d39684348f3288be619,1,P02,White,,full
